SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,web-scraper-order,web-scraper-start-url,prop_link,prop_link-href,address,thumbnail-src,estimate,listed-price
PAST SALE,September-9-2020,Condo/Co-op,12000 Market St #202,Reston,VA,20190,535000,3,2.0,SAVOY AT RESTON TWN CNTR,1483,,2004,54.0,361,567.0,Sold,,,http://www.redfin.com/VA/Reston/12000-Market-St-20190/unit-202/home/9848753,BRIGHT MLS,VAFX1139294,N,Y,38.960273799999996,-77.3628027,1604367743-150,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-11,,https://www.redfin.com/VA/Reston/12000-Market-St-20190/unit-202/home/9848753,12000 Market St #202,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/294/genMid.VAFX1139294_1.jpg,"$543,307",
PAST SALE,October-26-2020,Condo/Co-op,12905 Centre Park Cir #310,Herndon,VA,20171,370000,3,2.0,BRYSON AT WOODLAND PARK,1196,,2005,7.0,309,454.0,Sold,,,http://www.redfin.com/VA/Herndon/12905-Centre-Park-Cir-20171/unit-310/home/9855363,BRIGHT MLS,VAFX1157224,N,Y,38.94939829999999,-77.39305999999999,1604368231-286,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-4,,https://www.redfin.com/VA/Herndon/12905-Centre-Park-Cir-20171/unit-310/home/9855363,12905 Centre Park Cir #310,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/224/genMid.VAFX1157224_1.jpg,"$355,873",
PAST SALE,August-26-2020,Condo/Co-op,12165 Abington Hall Pl #302,Reston,VA,20190,445000,3,2.0,MADISON PARK AT,1336,,2000,68.0,333,400.0,Sold,,,http://www.redfin.com/VA/Reston/12165-Abington-Hall-Pl-20190/unit-302/home/9832681,BRIGHT MLS,VAFX1137038,N,Y,38.9599506,-77.36623420000001,1604367596-110,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-13,,https://www.redfin.com/VA/Reston/12165-Abington-Hall-Pl-20190/unit-302/home/9832681,12165 Abington Hall Pl #302,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/038/genMid.VAFX1137038_1.jpg,"$459,465",
PAST SALE,September-4-2020,Condo/Co-op,12000 Market St #417,Reston,VA,20190,357500,1,1.0,SAVOY AT RESTON TOWN CEN,873,,2004,59.0,410,405.0,Sold,,,http://www.redfin.com/VA/Reston/12000-Market-St-20190/unit-417/home/9848897,BRIGHT MLS,VAFX1140178,N,Y,38.960273799999996,-77.3628027,1604367715-141,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-11,,https://www.redfin.com/VA/Reston/12000-Market-St-20190/unit-417/home/9848897,12000 Market St #417,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/178/genMid.VAFX1140178_4.jpg,"$363,298",
PAST SALE,September-25-2020,Condo/Co-op,11760 Sunrise Valley Dr #805,Reston,VA,20191,274900,1,1.0,MERCER A CONDO,690,,2006,38.0,398,434.0,Sold,,,http://www.redfin.com/VA/Reston/11760-Sunrise-Valley-Dr-20191/unit-805/home/17112638,BRIGHT MLS,VAFX1144006,N,Y,38.9497211,-77.3522835,1604367903-193,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-9,,https://www.redfin.com/VA/Reston/11760-Sunrise-Valley-Dr-20191/unit-805/home/17112638,11760 Sunrise Valley Dr #805,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/006/genMid.VAFX1144006_2.jpg,"$278,703",
PAST SALE,August-12-2020,Condo/Co-op,1951 Sagewood Ln #18,Reston,VA,20191,135000,1,1.0,THOREAU PLACE CONDO,657,,1985,82.0,205,561.0,Sold,,,http://www.redfin.com/VA/Reston/1951-Sagewood-Ln-20191/unit-18/home/9357511,BRIGHT MLS,VAFX1112182,N,Y,38.9399294,-77.3279226,1604367439-73,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-15,,https://www.redfin.com/VA/Reston/1951-Sagewood-Ln-20191/unit-18/home/9357511,1951 Sagewood Ln #18,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/182/genMid.VAFX1112182_3.jpg,"$146,975",
PAST SALE,August-12-2020,Condo/Co-op,1951 Sagewood Ln #315,Reston,VA,20191,189000,2,2.0,THOREAU PLACE CONDO,1014,,1985,82.0,186,835.0,Sold,,,http://www.redfin.com/VA/Reston/1951-Sagewood-Ln-20191/unit-315/home/9357780,BRIGHT MLS,VAFX1130762,N,Y,38.9399294,-77.3279226,1604367435-72,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-15,,https://www.redfin.com/VA/Reston/1951-Sagewood-Ln-20191/unit-315/home/9357780,1951 Sagewood Ln #315,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/762/genMid.VAFX1130762_1.jpg,"$197,926",
PAST SALE,September-30-2020,Condo/Co-op,1984-A Villaridge Dr,Reston,VA,20191,305000,2,1.0,VILLARIDGE CONDO,990,,1986,33.0,308,386.0,Sold,,,http://www.redfin.com/VA/Reston/1984A-Villaridge-Dr-20191/home/172976309,BRIGHT MLS,VAFX1151478,N,Y,38.9386297,-77.32846590000001,1604367954-207,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-8,,https://www.redfin.com/VA/Reston/1984A-Villaridge-Dr-20191/home/172976309,1984-A Villaridge Dr,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/478/genMid.VAFX1151478_1.jpg,"$308,785",
PAST SALE,October-23-2020,Condo/Co-op,11196 Beaver Trail Ct,Reston,VA,20191,277000,1,1.0,NANTUCKET AT RESTON COND,951,,1985,10.0,291,431.0,Sold,,,http://www.redfin.com/VA/Reston/11196-Beaver-Trail-Ct-20191/home/9357426,BRIGHT MLS,VAFX1147092,N,Y,38.933599,-77.329999,1604368199-279,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-5,,https://www.redfin.com/VA/Reston/11196-Beaver-Trail-Ct-20191/home/9357426,11196 Beaver Trail Ct,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/092/genMid.VAFX1147092_2.jpg,"$289,223",
PAST SALE,September-7-2020,Condo/Co-op,12025 New Dominion Pkwy #306,Reston,VA,20190,408500,1,1.0,MIDTOWN NORTH CONDO,1008,,2007,56.0,405,687.0,Sold,,,http://www.redfin.com/VA/Reston/12025-New-Dominion-Pkwy-20190/unit-306/home/17111615,BRIGHT MLS,VAFX1130910,N,Y,38.960351700000004,-77.3608333,1604367727-145,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-11,,https://www.redfin.com/VA/Reston/12025-New-Dominion-Pkwy-20190/unit-306/home/17111615,12025 New Dominion Pkwy #306,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/910/genMid.VAFX1130910_2.jpg,"$431,599",
