SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,web-scraper-order,web-scraper-start-url,prop_link,prop_link-href,address,thumbnail-src,estimate,listed-price
PAST SALE,October-23-2020,Single Family Residential,2269 Compass Point Ln,Reston,VA,20191,715000,4,3.0,RESTON,2028,9755.0,1983,10.0,353,59.0,Sold,,,http://www.redfin.com/VA/Reston/2269-Compass-Point-Ln-20191/home/9351995,BRIGHT MLS,VAFX1155506,N,Y,38.9271099,-77.3336764,1604368203-280,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-5,,https://www.redfin.com/VA/Reston/2269-Compass-Point-Ln-20191/home/9351995,2269 Compass Point Ln,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/506/genMid.VAFX1155506_1.jpg,"$728,478",
PAST SALE,October-16-2020,Single Family Residential,2274 Cocquina Dr,Reston,VA,20191,475000,3,2.5,RESTON,1414,2803.0,1975,17.0,336,59.0,Sold,,,http://www.redfin.com/VA/Reston/2274-Cocquina-Dr-20191/home/9231826,BRIGHT MLS,VAFX1152744,N,Y,38.9464015,-77.37424140000002,1604368121-257,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-6,,https://www.redfin.com/VA/Reston/2274-Cocquina-Dr-20191/home/9231826,2274 Cocquina Dr,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/744/genMid.VAFX1152744_3.jpg,"$488,571",
PAST SALE,September-30-2020,Single Family Residential,2343 Citation Ct,Reston,VA,20191,730000,5,3.0,RESTON,3070,11814.0,1969,33.0,238,59.0,Sold,,,http://www.redfin.com/VA/Reston/2343-Citation-Ct-20191/home/9318487,BRIGHT MLS,VAFX1152590,N,Y,38.9339278,-77.3645916,1604368421-335,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-2,,https://www.redfin.com/VA/Reston/2343-Citation-Ct-20191/home/9318487,2343 Citation Ct,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/590/genMid.VAFX1152590_1.jpg,"$751,318",
PAST SALE,August-28-2020,Single Family Residential,12102 Loveless Ln,Herndon,VA,20171,605000,2,1.0,LOVELESS,936,52142.0,1966,66.0,646,,Sold,,,http://www.redfin.com/VA/Herndon/12102-Loveless-Ln-20171/home/9435647,BRIGHT MLS,VAFX1128698,N,Y,38.9104873,-77.36368929999999,1604367615-116,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-13,,https://www.redfin.com/VA/Herndon/12102-Loveless-Ln-20171/home/9435647,12102 Loveless Ln,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/698/genMid.VAFX1128698_2.jpg,"$577,975",
PAST SALE,August-7-2020,Single Family Residential,2421 Bramblebush Ct,Reston,VA,20191,602400,5,3.0,RESTON,2434,24799.0,1971,87.0,247,59.0,Sold,,,http://www.redfin.com/VA/Reston/2421-Bramblebush-Ct-20191/home/9350025,BRIGHT MLS,VAFX1137230,N,Y,38.9200454,-77.3415505,1604367394-60,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-15,,https://www.redfin.com/VA/Reston/2421-Bramblebush-Ct-20191/home/9350025,2421 Bramblebush Ct,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/230/genMid.VAFX1137230_1.jpg,"$694,585",
PAST SALE,October-14-2020,Single Family Residential,11803 Tree Fern Ct,Reston,VA,20191,789000,5,3.5,FOX MILL WOODS,3049,15390.0,1972,19.0,259,,Sold,,,http://www.redfin.com/VA/Reston/11803-Tree-Fern-Ct-20191/home/9347246,BRIGHT MLS,VAFX1153694,N,Y,38.921400299999995,-77.3544485,1604368088-246,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-6,,https://www.redfin.com/VA/Reston/11803-Tree-Fern-Ct-20191/home/9347246,11803 Tree Fern Ct,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/694/genMid.VAFX1153694_2.jpg,"$788,618",
PAST SALE,August-17-2020,Single Family Residential,11822 Blue Spruce Rd,Reston,VA,20191,710000,4,2.5,FOX MILL WOODS,2299,15282.0,1974,77.0,309,,Sold,,,http://www.redfin.com/VA/Reston/11822-Blue-Spruce-Rd-20191/home/9347352,BRIGHT MLS,VAFX1141102,N,Y,38.9201975,-77.35592890000001,1604367492-88,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-14,,https://www.redfin.com/VA/Reston/11822-Blue-Spruce-Rd-20191/home/9347352,11822 Blue Spruce Rd,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/102/genMid.VAFX1141102_3.jpg,"$727,296",
PAST SALE,September-2-2020,Single Family Residential,11021 Burywood Ln,Reston,VA,20194,687000,3,2.5,ASCOT,2022,25000.0,1984,61.0,340,13.0,Sold,,,http://www.redfin.com/VA/Reston/11021-Burywood-Ln-20194/home/9158148,BRIGHT MLS,VAFX1137602,N,Y,38.9788929,-77.327619,1604368400-328,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-2,,https://www.redfin.com/VA/Reston/11021-Burywood-Ln-20194/home/9158148,11021 Burywood Ln,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/602/genMid.VAFX1137602_2.jpg,"$788,703",
PAST SALE,August-17-2020,Single Family Residential,1423 Belcastle Ct,Reston,VA,20194,942000,3,2.5,RESTON,3354,8104.0,1993,77.0,281,283.0,Sold,,,http://www.redfin.com/VA/Reston/1423-Belcastle-Ct-20194/home/9147070,BRIGHT MLS,VAFX1140086,N,Y,38.976153100000005,-77.34083259999998,1604367495-89,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-14,,https://www.redfin.com/VA/Reston/1423-Belcastle-Ct-20194/home/9147070,1423 Belcastle Ct,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/086/genMid.VAFX1140086_1.jpg,"$948,197",
PAST SALE,October-16-2020,Single Family Residential,1821 Post Oak Trl,Reston,VA,20191,726000,4,3.0,RESTON,2696,20994.0,1978,17.0,269,59.0,Sold,,,http://www.redfin.com/VA/Reston/1821-Post-Oak-Trl-20191/home/9352649,BRIGHT MLS,VAFX1152126,N,Y,38.9411903,-77.31424679999999,1604368457-344,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-2,,https://www.redfin.com/VA/Reston/1821-Post-Oak-Trl-20191/home/9352649,1821 Post Oak Trl,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/126/genMid.VAFX1152126_1.jpg,"$720,751",
