SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,web-scraper-order,web-scraper-start-url,prop_link,prop_link-href,address,thumbnail-src,estimate,listed-price
PAST SALE,August-4-2020,Townhouse,2052 Headlands Cir,Reston,VA,20191,400000,3,3.0,BOSTON RIDGE CLUSTER,1356,1447.0,1978,90.0,295,59.0,Sold,,,http://www.redfin.com/VA/Reston/2052-Headlands-Cir-20191/home/9341688,BRIGHT MLS,VAFX1145922,N,Y,38.940758,-77.336792,1604367355-51,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-16,,https://www.redfin.com/VA/Reston/2052-Headlands-Cir-20191/home/9341688,2052 Headlands Cir,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/922/genMid.VAFX1145922_0.jpg,"$529,920",
PAST SALE,September-7-2020,Townhouse,2208 Golf Course Dr,Reston,VA,20191,455000,3,3.5,GOLF COURSE SQUARE CLUST,2112,1474.0,1972,56.0,215,93.0,Sold,,,http://www.redfin.com/VA/Reston/2208-Golf-Course-Dr-20191/home/9332530,BRIGHT MLS,VAFX1147520,N,Y,38.943998,-77.354084,1604367731-146,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-11,,https://www.redfin.com/VA/Reston/2208-Golf-Course-Dr-20191/home/9332530,2208 Golf Course Dr,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/520/genMid.VAFX1147520_1.jpg,"$510,080",
PAST SALE,October-15-2020,Townhouse,2072 Whisperwood Glen Ln,Reston,VA,20191,410000,2,2.5,RESTON SEC 76 BLK 2A WHI,1092,1176.0,1983,18.0,375,90.0,Sold,,,http://www.redfin.com/VA/Reston/2072-Whisperwood-Glen-Ln-20191/home/9344259,BRIGHT MLS,VAFX1155824,N,Y,38.934762,-77.337411,1604368110-253,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-6,,https://www.redfin.com/VA/Reston/2072-Whisperwood-Glen-Ln-20191/home/9344259,2072 Whisperwood Glen Ln,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/824/genMid.VAFX1155824_1.jpg,"$417,179",
PAST SALE,October-5-2020,Townhouse,11755 Mossy Creek Ln,Reston,VA,20191,465000,3,3.0,RESTON SEC 48 GLADE COUR,1342,2310.0,1984,28.0,346,132.0,Sold,,,http://www.redfin.com/VA/Reston/11755-Mossy-Creek-Ln-20191/home/9335878,BRIGHT MLS,VAFX1150310,N,Y,38.9317676,-77.352924,1604368032-229,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-7,,https://www.redfin.com/VA/Reston/11755-Mossy-Creek-Ln-20191/home/9335878,11755 Mossy Creek Ln,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/310/genMid.VAFX1150310_1.jpg,"$474,196",
PAST SALE,August-31-2020,Townhouse,1663 Valencia Way,Reston,VA,20190,478200,3,3.5,RESTON SEC 19 BLK 1 VILL,2232,2178.0,1972,63.0,214,113.0,Sold,,,http://www.redfin.com/VA/Reston/1663-Valencia-Way-20190/home/9242842,BRIGHT MLS,VAFX1143392,N,Y,38.9599115,-77.3304907,1604367683-133,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-12,,https://www.redfin.com/VA/Reston/1663-Valencia-Way-20190/home/9242842,1663 Valencia Way,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/392/genMid.VAFX1143392_1.jpg,"$494,340",
PAST SALE,October-13-2020,Townhouse,1609 Park Overlook Dr,Reston,VA,20190,563000,3,2.5,RESTON SEC 19 BLK 3,1680,1540.0,1972,20.0,335,117.0,Sold,,,http://www.redfin.com/VA/Reston/1609-Park-Overlook-Dr-20190/home/9243811,BRIGHT MLS,VAFX1151146,N,Y,38.9617759,-77.327427,1604368083-244,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-6,,https://www.redfin.com/VA/Reston/1609-Park-Overlook-Dr-20190/home/9243811,1609 Park Overlook Dr,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/146/genMid.VAFX1151146_2.jpg,"$570,286",
PAST SALE,October-8-2020,Townhouse,11426 Hollow Timber Ct,Reston,VA,20194,701000,3,2.5,RESTON SEC 61 BLK 1 TIMB,2940,2579.0,1994,25.0,238,59.0,Sold,,,http://www.redfin.com/VA/Reston/11426-Hollow-Timber-Ct-20194/home/9145266,BRIGHT MLS,VAFX1143420,N,Y,38.9806,-77.341226,1604368049-234,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-7,,https://www.redfin.com/VA/Reston/11426-Hollow-Timber-Ct-20194/home/9145266,11426 Hollow Timber Ct,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/420/genMid.VAFX1143420_1.jpg,"$710,690",
PAST SALE,September-30-2020,Townhouse,11773 North Shore Dr,Reston,VA,20190,569900,3,3.0,RESTON SEC 7 OF RESUBD P,2118,2138.0,1969,33.0,269,59.0,Sold,,,http://www.redfin.com/VA/Reston/11773-N-Shore-Dr-20190/home/9235996,BRIGHT MLS,VAFX1145966,N,Y,38.957716999999995,-77.346337,1604367980-214,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-8,,https://www.redfin.com/VA/Reston/11773-N-Shore-Dr-20190/home/9235996,11773 North Shore Dr,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/966/genMid.VAFX1145966_1.jpg,"$582,613",
PAST SALE,September-24-2020,Townhouse,1606 Oak Spring Way,Reston,VA,20190,530000,3,3.0,RESTON SEC 19 BLK 4,2050,1518.0,1986,39.0,259,100.0,Sold,,,http://www.redfin.com/VA/Reston/1606-Oak-Spring-Way-20190/home/9243973,BRIGHT MLS,VAFX1150900,N,Y,38.959563,-77.3283469,1604367880-187,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-9,,https://www.redfin.com/VA/Reston/1606-Oak-Spring-Way-20190/home/9243973,1606 Oak Spring Way,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/900/genMid.VAFX1150900_1.jpg,"$539,224",
PAST SALE,October-9-2020,Townhouse,11540 Hemingway Dr,Reston,VA,20194,736500,4,3.5,RESTON SEC 33 BLK 7A HEM,3172,3554.0,1991,24.0,232,169.0,Sold,,,http://www.redfin.com/VA/Reston/11540-Hemingway-Dr-20194/home/9136013,BRIGHT MLS,VAFX1151288,N,Y,38.977543,-77.342421,1604368080-243,https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-6,,https://www.redfin.com/VA/Reston/11540-Hemingway-Dr-20194/home/9136013,11540 Hemingway Dr,https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/288/genMid.VAFX1151288_3.jpg,"$763,789",
