hid,DAYS ON MARKET,front,back,side,inside,collage,trees,sky,lawn,PROP TYPE,estimate,LIST PRICE,ZIP CODE,PRICE,BEDS,BATHS,SQUARE FEET,YEAR BUILT
88,27,1,0,0,0,0,0,1,0,Townhouse,377057,359950,20191,359950,3,2.5,1260,1981
89,6,1,0,0,0,0,1,0,0,Townhouse,542428,519900,20191,540000,3,4,1934,1972
90,23,1,0,0,0,0,1,1,1,Townhouse,992288,940995,20191,1000483,4,4.5,3044,2019
92,18,1,0,0,0,0,1,0,0,Townhouse,395743,387500,20191,390000,2,2.5,1041,1985
93,2,1,0,0,0,0,1,1,0,Townhouse,518336,520000,20191,535000,3,3.5,1640,1972
94,2,1,0,0,0,0,1,1,0,Condo/Co-op,278620,282500,20191,262500,1,1,660,2006
95,2,1,0,0,0,0,1,1,1,Single Family Residential,649560,649800,20191,670000,4,2.5,2176,1972
96,9,1,0,0,0,0,1,0,0,Townhouse,446180,439900,20194,439900,3,2.5,1550,1984
97,9,0,0,0,1,0,0,0,0,Condo/Co-op,701106,685000,20190,685000,3,2,1619,2006
98,9,0,0,0,1,0,1,0,0,Condo/Co-op,418352,407900,20194,417000,2,2.5,1250,1996
99,20,1,0,0,0,0,1,1,1,Single Family Residential,569918,602950,20194,551985,4,3.5,1638,1985
100,16,0,1,0,0,0,1,1,1,Single Family Residential,929863,939000,20194,939000,3,2.5,3354,1994
101,2,1,0,0,0,0,1,1,1,Single Family Residential,771971,775000,20170,775000,4,3,3253,1986
102,11,1,0,0,0,0,1,1,1,Single Family Residential,868341,854900,20194,815000,4,4.5,2898,1998
103,9,1,0,0,0,0,1,1,1,Single Family Residential,998733,989000,20194,998000,5,3.5,4649,1994
104,18,1,0,0,0,0,1,1,0,Townhouse,757551,749000,20194,750000,4,3.5,2844,1990
106,2,1,0,0,0,0,1,1,1,Single Family Residential,993540,1100000,20194,960000,5,4.5,5014,1993
107,27,1,0,0,0,0,1,0,0,Townhouse,347012,330000,20191,331000,3,1.5,1197,1972
108,10,1,0,0,0,0,1,0,1,Single Family Residential,901328,880000,20191,880000,5,4.5,5091,1971
109,9,1,0,0,0,0,1,1,1,Single Family Residential,624705,599999,20191,599999,4,3,2464,1977
110,24,1,0,0,0,0,1,1,1,Single Family Residential,638657,625000,20191,635000,4,2.5,2320,1986
111,3,1,0,0,0,0,1,0,0,Single Family Residential,449908,449900,20191,467000,3,3,1660,1975
113,13,1,0,0,0,0,1,1,1,Single Family Residential,1047847,1075000,20194,1038888,5,3.5,4330,1997
114,12,1,0,0,0,0,1,1,1,Condo/Co-op,285818,297500,20190,280000,2,2,934,1985
115,24,1,0,0,0,0,1,0,1,Townhouse,601612,595000,20191,575000,4,3.5,2332,1972
116,18,1,0,0,1,1,1,0,1,Single Family Residential,838164,795000,20191,817500,5,3.5,4504,1985
117,26,1,0,0,0,0,1,1,1,Single Family Residential,1173537,1175000,20194,1200000,4,4.5,4592,1983
118,23,1,0,0,0,0,1,1,1,Townhouse,653863,650000,20194,650000,3,3,2080,1992
119,11,0,0,0,1,0,0,0,0,Townhouse,879783,915995,20191,848097,3,3.5,2873,2019
120,13,1,0,0,0,0,1,0,1,Townhouse,550978,539000,20194,533000,3,3,2229,1997
123,23,1,0,0,0,0,1,1,1,Townhouse,396033,369900,20194,370000,2,1.5,1210,1983
124,5,1,0,0,0,0,1,1,0,Condo/Co-op,96740,118000,20191,91000,0,1,426,1985
125,2,1,0,0,0,0,1,0,0,Single Family Residential,840126,899000,20191,850000,4,3.5,2208,1980
126,2,1,0,0,0,0,1,1,0,Condo/Co-op,485519,504995,20190,494000,2,2,1271,2001
127,27,1,0,0,0,0,1,1,1,Single Family Residential,824897,799900,20194,780000,4,3.5,3000,1984
128,12,1,0,0,0,0,1,1,1,Single Family Residential,881307,874900,20194,845000,5,3.5,4410,1999
129,23,1,0,0,0,0,1,1,1,Townhouse,472869,455000,20190,455000,3,3.5,2328,1970
130,16,1,0,0,0,0,1,0,0,Townhouse,513238,500000,20190,500000,2,2,1530,1965
