web-scraper-order,web-scraper-start-url,prop_link,prop_link-href,address,thumbnail-src,estimate,listed-price
"1604368039-231","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-7","","https://www.redfin.com/VA/Reston/1902A-Villaridge-Dr-20191/unit-A/home/113382458","1902-A Villaridge Dr","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/568/genMid.VAFX1150568_2.jpg","$258,414","null"
"1604368488-352","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-1","","https://www.redfin.com/VA/Reston/2261-Wheelwright-Ct-20191/home/9337782","2261 Wheelwright Ct","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/682/genMid.VAFX1143682_3.jpg","$437,608","null"
"1604368164-268","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-5","","https://www.redfin.com/VA/Reston/12000-Market-St-20190/unit-370/home/9850666","12000 Market St #370","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/622/genMid.VAFX1133622_5.jpg","$439,565","null"
"1604368328-308","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-3","","https://www.redfin.com/VA/Reston/1574-Moorings-Dr-20190/unit-12B/home/166913730","1574 Moorings Dr Unit 12B","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/156/genMid.VAFX1155156_3.jpg","$250,082","null"
"1604368515-359","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-1","","https://www.redfin.com/VA/Reston/1250-Lamplighter-Way-20194/home/9143373","1250 Lamplighter Way","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/420/genMid.VAFX1145420_2.jpg","$834,561","null"
"1604367339-47","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-16","","https://www.redfin.com/VA/Reston/1412-Northgate-Sq-20190/unit-12/home/9138174","1412 Northgate Sq #12","","$271,086","null"
"1604367314-39","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-16","","https://www.redfin.com/VA/Reston/11039-Saffold-Way-20190/home/9240359","11039 Saffold Way","","$506,686","null"
"1604368150-264","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-5","","https://www.redfin.com/VA/Reston/12626-Thunder-Chase-Dr-20191/home/9202124","12626 Thunder Chase Dr","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/014/genMid.VAFX1152014_3.jpg","$634,822","null"
"1604367593-109","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-13","","https://www.redfin.com/VA/Herndon/13019-Park-Crescent-Cir-20171/home/9208292","13019 Park Crescent Cir","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/994/genMid.VAFX1136994_2.jpg","$463,228","null"
"1604368141-262","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-6","","https://www.redfin.com/VA/Reston/1239-Woodbrook-Ct-20194/home/9144175","1239 Woodbrook Ct","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/918/genMid.VAFX1151918_1.jpg","$707,139","null"
"1604367465-79","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-14","","https://www.redfin.com/VA/Reston/11725-Dry-River-Ct-20191/home/9335765","11725 Dry River Ct","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/384/genMid.VAFX1141384_3.jpg","$540,620","null"
"1604367807-167","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-10","","https://www.redfin.com/VA/Reston/2237-Lovedale-Ln-20191/unit-408B/home/9345084","2237-C Lovedale Ln Unit 408B","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/208/genMid.VAFX1145208_2.jpg","$336,831","null"
"1604367997-219","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-8","","https://www.redfin.com/VA/Reston/11732-Paysons-Way-20191/home/169125324","11732 Paysons Way","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/506/genMid.VAFX1116506_1.jpg","$872,035","null"
"1604367944-204","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-8","","https://www.redfin.com/VA/Reston/2054-Royal-Fern-Ct-20191/unit-2B/home/143203811","2054 Royal Fern Ct Unit 2B","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/368/genMid.VAFX1150368_1.jpg","$250,921","null"
"1604367333-45","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-16","","https://www.redfin.com/VA/Reston/1401-Northgate-Sq-20190/unit-1/home/9227881","1401 Northgate Sq #1","","$302,386","null"
"1604367750-152","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-11","","https://www.redfin.com/VA/Reston/11696-Sunrise-Square-Pl-20191/unit-18/home/167026637","11696 Sunrise Square Pl #18","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/788/genMid.VAFX1131788_3.jpg","$826,615","null"
"1604367591-108","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-13","","https://www.redfin.com/VA/Reston/11206-Bradbury-Ln-20194/home/9137330","11206 Bradbury Ln","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/586/genMid.VAFX1142586_1.jpg","$838,924","null"
"1604367615-116","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-13","","https://www.redfin.com/VA/Herndon/12102-Loveless-Ln-20171/home/9435647","12102 Loveless Ln","https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/698/genMid.VAFX1128698_2.jpg","$577,975","null"
"1604367276-28","https://www.redfin.com/city/25657/VA/Reston/filter/include=sold-3mo/page-17","","https://www.redfin.com/VA/Reston/1958-Villaridge-Dr-20191/unit-B/home/9356887","1958 Villaridge Dr Unit B","","$285,061","null"
